date,code,action,price,shares,amount,fee,pnl,pnl_pct,reason
2021-01-04,sz.000166,BUY,4.8398,2000,9679.6,5.0,0.0,0.0,买入信号
2021-01-04,sh.601377,BUY,7.5001,1300,9750.13,5.0,0.0,0.0,买入信号
2021-01-04,sh.601555,BUY,8.1334,1200,9760.08,5.0,0.0,0.0,买入信号
2021-01-04,sh.601138,BUY,11.8713,800,9497.04,5.0,0.0,0.0,买入信号
2021-03-10,sh.601138,SELL,11.8111,800,9448.88,9.72444,-62.88444000000163,-0.6617993609793437,卖出信号（盈亏-0.51%）
2021-03-11,sh.601238,BUY,10.2789,900,9251.01,5.0,0.0,0.0,买入信号
2021-05-11,sh.601377,SELL,6.943,1300,9025.9,9.51295,-738.7429499999998,-7.572866276512973,卖出信号（盈亏-7.43%）
2021-05-11,sh.601808,BUY,13.6183,600,8170.98,5.0,0.0,0.0,买入信号
2021-09-29,sz.000166,SELL,5.1562,2000,10312.4,10.1562,617.6437999999998,6.37758709704066,卖出信号（盈亏6.54%）
2021-09-29,sh.601058,BUY,10.1981,1000,10198.1,5.0,0.0,0.0,买入信号
2021-11-03,sh.601238,SELL,15.8195,900,14237.55,12.118775,4969.421224999998,53.688589629872894,卖出信号（盈亏53.90%）
2021-11-03,sh.601881,BUY,9.6487,1500,14473.05,5.0,0.0,0.0,买入信号
2022-01-10,sh.601881,SELL,9.8478,1500,14771.699999999999,12.38585,281.26414999999906,1.9426935947865844,卖出信号（盈亏2.06%）
2022-01-10,sz.000425,BUY,5.5361,2700,14947.47,5.0,0.0,0.0,买入信号
2022-01-25,sh.601808,SELL,12.8998,600,7739.88,8.86994,-444.96993999999904,-5.442404947174516,卖出信号（盈亏-5.28%）
2022-01-25,sh.600489,BUY,7.6235,1100,8385.85,5.0,0.0,0.0,买入信号
2022-04-18,sh.601555,SELL,6.3974,1200,7676.88,8.83844,-2097.0384400000003,-21.474872095261897,卖出信号（盈亏-21.34%）
2022-04-18,sz.300628,BUY,47.3597,100,4735.97,5.0,0.0,0.0,买入信号
2022-04-22,sh.600489,SELL,6.7955,1100,7475.049999999999,8.737525,-924.5375250000006,-11.018401294266976,卖出信号（盈亏-10.86%）
2022-04-22,sz.300832,BUY,33.4462,200,6689.24,5.0,0.0,0.0,买入信号
2022-07-04,sz.300628,SELL,44.0054,100,4400.54,7.20027,-347.63027000000056,-7.3324714140777205,卖出信号（盈亏-7.08%）
2022-07-04,sz.000792,BUY,31.67,200,6334.0,5.0,0.0,0.0,买入信号
2022-08-18,sz.000792,SELL,28.39,200,5678.0,7.839,-668.8389999999999,-10.55117526423726,卖出信号（盈亏-10.36%）
2022-08-18,sz.002074,BUY,42.7841,100,4278.41,5.0,0.0,0.0,买入信号
2022-09-15,sh.601058,SELL,10.0901,1000,10090.1,10.04505,-123.04505000000063,-1.2059575031118055,卖出信号（盈亏-1.06%）
2022-09-15,sh.600176,BUY,13.3202,700,9324.14,5.0,0.0,0.0,买入信号
2022-09-19,sh.600176,SELL,12.5746,700,8802.22,9.40111,-536.3211100000008,-5.748880497023314,卖出信号（盈亏-5.60%）
2022-09-21,sh.601872,BUY,7.5004,1300,9750.52,5.0,0.0,0.0,买入信号
2022-11-10,sz.300832,SELL,50.2294,200,10045.88,10.022939999999998,3341.6170599999987,49.91779589617341,卖出信号（盈亏50.18%）
2022-11-10,sz.002027,BUY,4.4912,2500,11228.0,5.0,0.0,0.0,买入信号
2022-12-14,sz.002074,SELL,30.7046,100,3070.46,6.53523,-1219.4852299999998,-28.469962716620635,卖出信号（盈亏-28.23%）
2022-12-27,sz.002422,BUY,23.0395,200,4607.9,5.0,0.0,0.0,买入信号
2023-04-10,sz.002027,SELL,5.4513,2500,13628.25,11.814125,2383.435874999999,21.21815966349149,卖出信号（盈亏21.38%）
2023-04-10,sh.601136,BUY,14.4074,900,12966.66,5.0,0.0,0.0,买入信号
2023-04-25,sz.000425,SELL,6.1861,2700,16702.469999999998,13.351234999999999,1736.648765,11.614460788083841,卖出信号（盈亏11.74%）
2023-04-27,sh.600900,BUY,19.7347,800,15787.76,5.0,0.0,0.0,买入信号
2023-08-02,sz.002422,SELL,24.8795,200,4975.9,7.48795,355.5120500000003,7.706909969867118,卖出信号（盈亏7.99%）
2023-08-02,sz.002938,BUY,23.8432,200,4768.64,5.0,0.0,0.0,买入信号
2023-08-08,sh.601872,SELL,5.7753,1300,7507.889999999999,8.753945,-2256.3839450000014,-23.129304691087725,卖出信号（盈亏-23.00%）
2023-08-14,sz.001965,BUY,8.5145,900,7663.05,5.0,0.0,0.0,买入信号
2023-10-20,sz.002938,SELL,18.2742,200,3654.84,6.82742,-1125.6274200000003,-23.58006510754896,卖出信号（盈亏-23.36%）
2023-10-20,sh.601236,BUY,7.383,600,4429.8,5.0,0.0,0.0,买入信号
2023-11-07,sh.600900,SELL,20.8402,800,16672.16,13.33608,866.0639199999987,5.483930104680871,卖出信号（盈亏5.60%）
2023-11-07,sz.300442,BUY,23.7704,700,16639.28,5.0,0.0,0.0,买入信号
2023-11-13,sh.601136,SELL,21.8319,900,19648.71,14.824355,6662.225644999999,51.35985405877119,卖出信号（盈亏51.53%）
2023-11-13,sz.000063,BUY,26.731,700,18711.7,5.0,0.0,0.0,买入信号
2023-12-07,sz.300442,SELL,25.6872,700,17981.04,13.99052,1322.7694800000027,7.947291682187531,卖出信号（盈亏8.06%）
2023-12-07,sz.300413,BUY,29.1864,600,17511.84,5.0,0.0,0.0,买入信号
2023-12-29,sz.001965,SELL,9.0224,900,8120.159999999999,9.06008,443.04991999999856,5.777869471377971,卖出信号（盈亏5.97%）
2023-12-29,sz.000725,BUY,3.7889,2100,7956.69,5.0,0.0,0.0,买入信号
2024-01-05,sz.000063,SELL,23.5045,700,16453.15,13.226575,-2276.776575,-12.164412396416035,卖出信号（盈亏-12.07%）
2024-01-05,sh.600015,BUY,5.206,3400,17700.4,5.0,0.0,0.0,买入信号
2024-02-02,sh.601236,SELL,6.5606,600,3936.36,6.96818,-505.4081799999999,-11.39641426896365,卖出信号（盈亏-11.14%）
2024-02-06,sh.600515,BUY,3.64,1200,4368.0,5.0,0.0,0.0,买入信号
2024-03-15,sh.600015,SELL,5.5502,3400,18870.68,14.43534,1150.8446599999988,6.499964191715514,卖出信号（盈亏6.61%）
2024-03-18,sh.601808,BUY,14.8936,1200,17872.32,5.0,0.0,0.0,买入信号
2024-03-22,sz.000725,SELL,3.8083,2100,7997.43,8.998715,26.74128500000097,0.3358744814229262,卖出信号（盈亏0.51%）
2024-03-26,sh.601077,BUY,4.0111,2000,8022.2,5.0,0.0,0.0,买入信号
2024-07-18,sz.300413,SELL,19.8832,600,11929.92,10.964960000000001,-5597.884959999999,-31.957162136549737,卖出信号（盈亏-31.88%）
2024-07-18,sh.601377,BUY,4.9583,2700,13387.41,5.0,0.0,0.0,买入信号
2024-08-20,sh.600515,SELL,3.34,1200,4008.0,7.004,-372.0039999999999,-8.506837411388062,卖出信号（盈亏-8.24%）
2024-08-20,sh.601825,BUY,6.2636,600,3758.16,5.0,0.0,0.0,买入信号
2024-10-30,sh.601808,SELL,14.5394,1200,17447.28,13.72364,-443.76364000000103,-2.482271615656044,卖出信号（盈亏-2.38%）
2024-10-31,sh.601111,BUY,7.33,2500,18325.0,5.0,0.0,0.0,买入信号
2025-01-07,sh.601825,SELL,7.7044,600,4622.639999999999,7.31132,852.1686799999998,22.645029177606048,卖出信号（盈亏23.00%）
2025-01-08,sh.600547,BUY,24.2526,200,4850.52,5.0,0.0,0.0,买入信号
2025-02-21,sh.601077,SELL,5.3977,2000,10795.400000000001,10.3977,2757.802300000002,34.35571930436518,卖出信号（盈亏34.57%）
2025-02-24,sh.601868,BUY,2.2823,4700,10726.81,5.0,0.0,0.0,买入信号
2025-06-16,sh.601111,SELL,7.74,2500,19350.0,14.675,1005.3250000000007,5.484588106928536,卖出信号（盈亏5.59%）
2025-06-16,sh.601615,BUY,10.4173,1800,18751.14,5.0,0.0,0.0,买入信号
2025-10-31,sh.601868,SELL,2.41,4700,11327.0,10.663499999999999,584.5264999999999,5.446672089796595,卖出信号（盈亏5.60%）
2025-10-31,sz.000100,BUY,4.2269,2700,11412.63,5.0,0.0,0.0,买入信号
2025-11-20,sz.000100,SELL,4.0798,2700,11015.46,10.507729999999999,-412.6777299999994,-3.6143904645710143,卖出信号（盈亏-3.48%）
2025-11-26,sh.601136,BUY,20.7105,500,10355.25,5.0,0.0,0.0,买入信号
2025-12-09,sh.600547,SELL,34.74,200,6948.0,8.474,2084.0059999999994,42.92034632747882,卖出信号（盈亏43.24%）
2025-12-09,sh.600703,BUY,14.02,400,5608.0,5.0,0.0,0.0,买入信号
2026-02-24,sh.601615,SELL,22.27,1800,40086.0,25.043,21304.817000000003,113.58849422109243,卖出信号（盈亏113.78%）
2026-02-24,sz.000977,BUY,63.3549,600,38012.94,5.0,0.0,0.0,买入信号
